Interaction:  A_\sigma_257(X)  AntiPart A_\lambda_127(X)  to  e_eps_32(X)  AntiPart e_eta_128(X)^(*) : Vertex V_1:A(X_2), AntiPart e(X_4),  OffShell e(V_1), Vertex V_0:A(X_1), e(X_3), AntiPart  OffShell e(V_0), : 1/2*i*e^2*(p_2_%\nu_145*gamma_{+%\nu_145,%gam_180,%gam_181}*gamma_{%\sigma_162,%gam_181,%del_146}*gamma_{%\tau_157,%gam_153,%gam_180}*A_{i_3,+%\tau_157}(p_1)*A_{k_3,+%\sigma_162}(p_2)*e_{l_3,%gam_153}(p_3)_u^(*)*e_{j_5,%del_146}(p_4)_v + (-2)*p_4_%\sigma_162*gamma_{%\tau_157,%gam_159,%del_149}*A_{i_3,+%\tau_157}(p_1)*A_{k_3,+%\sigma_162}(p_2)*e_{l_3,%gam_159}(p_3)_u^(*)*e_{j_5,%del_149}(p_4)_v)/(s_13 + -1/2*reg_prop) : 2*e^4*s_23*s_24*(s_13 + -1/2*reg_prop)^(-2) + (-2)*i*e^2*(i*e^2*m_e^2*(s_23 + 2*s_24)/(s_13 + -1/2*reg_prop) + (-2)*i*e^2*m_e^2*(m_e^2 + 1/2*s_34)/(s_13 + -1/2*reg_prop))/(s_13 + -1/2*reg_prop)
Interaction:  A_\sigma_257(X)  AntiPart A_\lambda_127(X)  to  e_eps_32(X)  AntiPart e_eta_128(X)^(*) : Vertex V_0:A(X_2), e(X_3), AntiPart  OffShell e(V_0), Vertex V_1:A(X_1), AntiPart e(X_4),  OffShell e(V_1), : -1/2*i*e^2*(p_2_%\mu_98*gamma_{+%\mu_98,%gam_234,%gam_235}*gamma_{%\sigma_185,%gam_201,%gam_234}*gamma_{%\tau_189,%gam_235,%del_182}*A_{i_3,+%\tau_189}(p_1)*A_{k_3,+%\sigma_185}(p_2)*e_{l_3,%gam_201}(p_3)_u^(*)*e_{j_5,%del_182}(p_4)_v + (-2)*p_3_%\sigma_185*gamma_{%\tau_189,%gam_209,%del_187}*A_{i_3,+%\tau_189}(p_1)*A_{k_3,+%\sigma_185}(p_2)*e_{l_3,%gam_209}(p_3)_u^(*)*e_{j_5,%del_187}(p_4)_v)/(s_23 + -1/2*reg_prop) : 2*e^4*s_23*s_24*(s_23 + -1/2*reg_prop)^(-2) + -1/4*i*e^2*(i*e^2*m_e^2*(16*s_23 + 8*s_24)/(s_23 + -1/2*reg_prop) + (-16)*i*e^2*m_e^2*(m_e^2 + 1/2*s_34)/(s_23 + -1/2*reg_prop))/(s_23 + -1/2*reg_prop)
Interaction:  A_\rho_341(X)  AntiPart A_\sigma_585(X)  to  mu_eps_120(X)  AntiPart mu_eta_440(X)^(*) : Vertex V_1:A(X_2), mu(X_3), AntiPart  OffShell mu(V_1), Vertex V_0:A(X_1), AntiPart mu(X_4),  OffShell mu(V_0), : -1/2*i*e^2*(p_2_%\mu_394*gamma_{%\mu_392,%eta_300,%eta_254}*gamma_{+%\mu_394,%eta_299,%eta_300}*gamma_{%\nu_447,%eta_253,%eta_299}*A_{l_105,+%\nu_447}(p_2)*A_{k_105,+%\mu_392}(p_1)*mu_{j_107,%eta_254}(p_4)_v*mu_{i_107,%eta_253}(p_3)_u^(*) + (-2)*p_3_%\nu_447*gamma_{%\mu_392,%eta_262,%eta_263}*A_{l_105,+%\nu_447}(p_2)*A_{k_105,+%\mu_392}(p_1)*mu_{j_107,%eta_263}(p_4)_v*mu_{i_107,%eta_262}(p_3)_u^(*))/(s_23 + -1/2*reg_prop) : 2*e^4*s_23*s_24*(s_23 + -1/2*reg_prop)^(-2) + -1/4*i*e^2*(i*e^2*m_mu^2*(16*s_23 + 8*s_24)/(s_23 + -1/2*reg_prop) + (-16)*i*e^2*m_mu^2*(m_mu^2 + 1/2*s_34)/(s_23 + -1/2*reg_prop))/(s_23 + -1/2*reg_prop)
Interaction:  A_\rho_341(X)  AntiPart A_\sigma_585(X)  to  mu_eps_120(X)  AntiPart mu_eta_440(X)^(*) : Vertex V_0:A(X_2), AntiPart mu(X_4),  OffShell mu(V_0), Vertex V_1:A(X_1), mu(X_3), AntiPart  OffShell mu(V_1), : 1/2*i*e^2*(p_2_%\tau_545*gamma_{%\mu_436,%eta_331,%eta_377}*gamma_{%\nu_466,%eta_378,%eta_332}*gamma_{+%\tau_545,%eta_377,%eta_378}*A_{l_105,+%\nu_466}(p_2)*A_{k_105,+%\mu_436}(p_1)*mu_{j_107,%eta_332}(p_4)_v*mu_{i_107,%eta_331}(p_3)_u^(*) + (-2)*p_4_%\nu_466*gamma_{%\mu_436,%eta_340,%eta_341}*A_{l_105,+%\nu_466}(p_2)*A_{k_105,+%\mu_436}(p_1)*mu_{j_107,%eta_341}(p_4)_v*mu_{i_107,%eta_340}(p_3)_u^(*))/(s_13 + -1/2*reg_prop) : 2*e^4*s_23*s_24*(s_13 + -1/2*reg_prop)^(-2) + (-2)*i*e^2*(i*e^2*m_mu^2*(s_23 + 2*s_24)/(s_13 + -1/2*reg_prop) + (-2)*i*e^2*m_mu^2*(m_mu^2 + 1/2*s_34)/(s_13 + -1/2*reg_prop))/(s_13 + -1/2*reg_prop)
Interaction:  A_\tau_962(X)  AntiPart A_\mu_823(X)  to  t_alpha_383(X)  AntiPart t_beta_177(X)^(*) : Vertex V_1:A(X_2), AntiPart t(X_4),  OffShell t(V_1), Vertex V_0:A(X_1), t(X_3), AntiPart  OffShell t(V_0), : 1/2*i*e^2*(p_2_%\sigma_793*gamma_{+%\sigma_793,%gam_827,%gam_828}*gamma_{%\tau_833,%gam_796,%gam_827}*gamma_{%\tau_835,%gam_828,%del_608}*A_{l_195,+%\tau_835}(p_2)*A_{k_195,+%\tau_833}(p_1)*t_{i_197,%gam_796}(p_3)_u^(*)*t_{j_197,%del_608}(p_4)_v + (-2)*p_4_%\tau_835*gamma_{%\tau_833,%gam_804,%del_613}*A_{l_195,+%\tau_835}(p_2)*A_{k_195,+%\tau_833}(p_1)*t_{i_197,%gam_804}(p_3)_u^(*)*t_{j_197,%del_613}(p_4)_v)/(s_13 + -1/2*reg_prop) : 2*e^4*s_23*s_24*(s_13 + -1/2*reg_prop)^(-2) + (-2)*i*e^2*(i*e^2*m_t^2*(s_23 + 2*s_24)/(s_13 + -1/2*reg_prop) + (-2)*i*e^2*m_t^2*(m_t^2 + 1/2*s_34)/(s_13 + -1/2*reg_prop))/(s_13 + -1/2*reg_prop)
Interaction:  A_\tau_962(X)  AntiPart A_\mu_823(X)  to  t_alpha_383(X)  AntiPart t_beta_177(X)^(*) : Vertex V_0:A(X_2), t(X_3), AntiPart  OffShell t(V_0), Vertex V_1:A(X_1), AntiPart t(X_4),  OffShell t(V_1), : -1/2*i*e^2*(p_2_%\rho_557*gamma_{+%\rho_557,%gam_882,%gam_883}*gamma_{%\tau_876,%gam_847,%gam_882}*gamma_{%\tau_878,%gam_883,%del_638}*A_{l_195,+%\tau_876}(p_2)*A_{k_195,+%\tau_878}(p_1)*t_{i_197,%gam_847}(p_3)_u^(*)*t_{j_197,%del_638}(p_4)_v + (-2)*p_3_%\tau_876*gamma_{%\tau_878,%gam_853,%del_641}*A_{l_195,+%\tau_876}(p_2)*A_{k_195,+%\tau_878}(p_1)*t_{i_197,%gam_853}(p_3)_u^(*)*t_{j_197,%del_641}(p_4)_v)/(s_23 + -1/2*reg_prop) : 2*e^4*s_23*s_24*(s_23 + -1/2*reg_prop)^(-2) + -1/4*i*e^2*(i*e^2*m_t^2*(16*s_23 + 8*s_24)/(s_23 + -1/2*reg_prop) + (-16)*i*e^2*m_t^2*(m_t^2 + 1/2*s_34)/(s_23 + -1/2*reg_prop))/(s_23 + -1/2*reg_prop)
Interaction:  A_\mu_1119(X)  AntiPart A_\nu_1001(X)  to  u_alpha_553(X)  AntiPart u_beta_313(X)^(*) : Vertex V_1:A(X_2), AntiPart u(X_4),  OffShell u(V_1), Vertex V_0:A(X_1), u(X_3), AntiPart  OffShell u(V_0), : 2/9*i*e^2*(p_2_%\lambda_874*gamma_{+%\lambda_874,%eta_1064,%eta_1065}*gamma_{%\mu_1038,%eta_1035,%eta_1064}*gamma_{%\tau_1309,%eta_1065,%beta_259}*A_{k_277,+%\mu_1038}(p_1)*A_{l_277,+%\tau_1309}(p_2)*u_{i_279,%eta_1035}(p_3)_u^(*)*u_{j_279,%beta_259}(p_4)_v + (-2)*p_4_%\tau_1309*gamma_{%\mu_1038,%eta_1041,%beta_262}*A_{k_277,+%\mu_1038}(p_1)*A_{l_277,+%\tau_1309}(p_2)*u_{i_279,%eta_1041}(p_3)_u^(*)*u_{j_279,%beta_262}(p_4)_v)/(s_13 + -1/2*reg_prop) : 32/81*e^4*s_23*s_24*(s_13 + -1/2*reg_prop)^(-2) + -32/81*i*e^2*(i*e^2*m_u^2*(s_23 + 2*s_24)/(s_13 + -1/2*reg_prop) + (-2)*i*e^2*m_u^2*(m_u^2 + 1/2*s_34)/(s_13 + -1/2*reg_prop))/(s_13 + -1/2*reg_prop)
Interaction:  A_\mu_1119(X)  AntiPart A_\nu_1001(X)  to  u_alpha_553(X)  AntiPart u_beta_313(X)^(*) : Vertex V_0:A(X_2), u(X_3), AntiPart  OffShell u(V_0), Vertex V_1:A(X_1), AntiPart u(X_4),  OffShell u(V_1), : -2/9*i*e^2*(p_2_%\sigma_1072*gamma_{%\mu_1067,%eta_1112,%beta_289}*gamma_{+%\sigma_1072,%eta_1111,%eta_1112}*gamma_{%\tau_1328,%eta_1086,%eta_1111}*A_{k_277,+%\mu_1067}(p_1)*A_{l_277,+%\tau_1328}(p_2)*u_{i_279,%eta_1086}(p_3)_u^(*)*u_{j_279,%beta_289}(p_4)_v + (-2)*p_3_%\tau_1328*gamma_{%\mu_1067,%eta_1094,%beta_292}*A_{k_277,+%\mu_1067}(p_1)*A_{l_277,+%\tau_1328}(p_2)*u_{i_279,%eta_1094}(p_3)_u^(*)*u_{j_279,%beta_292}(p_4)_v)/(s_23 + -1/2*reg_prop) : 32/81*e^4*s_23*s_24*(s_23 + -1/2*reg_prop)^(-2) + -4/81*i*e^2*(i*e^2*m_u^2*(16*s_23 + 8*s_24)/(s_23 + -1/2*reg_prop) + (-16)*i*e^2*m_u^2*(m_u^2 + 1/2*s_34)/(s_23 + -1/2*reg_prop))/(s_23 + -1/2*reg_prop)
Interaction:  A_\tau_1620(X)  AntiPart A_\mu_1374(X)  to  d_eps_324(X)  AntiPart d_eta_1582(X)^(*) : Vertex V_1:A(X_2), AntiPart d(X_4),  OffShell d(V_1), Vertex V_0:A(X_1), d(X_3), AntiPart  OffShell d(V_0), : 1/18*i*e^2*(p_2_%\sigma_1293*gamma_{%\nu_1205,%gam_1464,%eta_1505}*gamma_{%\sigma_1291,%gam_1434,%gam_1463}*gamma_{+%\sigma_1293,%gam_1463,%gam_1464}*A_{l_351,+%\nu_1205}(p_2)*A_{k_351,+%\sigma_1291}(p_1)*d_{i_353,%gam_1434}(p_3)_u^(*)*d_{j_353,%eta_1505}(p_4)_v + (-2)*p_4_%\nu_1205*gamma_{%\sigma_1291,%gam_1440,%eta_1508}*A_{l_351,+%\nu_1205}(p_2)*A_{k_351,+%\sigma_1291}(p_1)*d_{i_353,%gam_1440}(p_3)_u^(*)*d_{j_353,%eta_1508}(p_4)_v)/(s_13 + -1/2*reg_prop) : 2/81*e^4*s_23*s_24*(s_13 + -1/2*reg_prop)^(-2) + -2/81*i*e^2*(i*e^2*m_d^2*(s_23 + 2*s_24)/(s_13 + -1/2*reg_prop) + (-2)*i*e^2*m_d^2*(m_d^2 + 1/2*s_34)/(s_13 + -1/2*reg_prop))/(s_13 + -1/2*reg_prop)
Interaction:  A_\tau_1620(X)  AntiPart A_\mu_1374(X)  to  d_eps_324(X)  AntiPart d_eta_1582(X)^(*) : Vertex V_0:A(X_2), d(X_3), AntiPart  OffShell d(V_0), Vertex V_1:A(X_1), AntiPart d(X_4),  OffShell d(V_1), : -1/18*i*e^2*(p_2_%\rho_981*gamma_{%\nu_1233,%gam_1485,%gam_1520}*gamma_{+%\rho_981,%gam_1520,%gam_1521}*gamma_{%\sigma_1336,%gam_1521,%eta_1544}*A_{l_351,+%\nu_1233}(p_2)*A_{k_351,+%\sigma_1336}(p_1)*d_{i_353,%gam_1485}(p_3)_u^(*)*d_{j_353,%eta_1544}(p_4)_v + (-2)*p_3_%\nu_1233*gamma_{%\sigma_1336,%gam_1493,%eta_1547}*A_{l_351,+%\nu_1233}(p_2)*A_{k_351,+%\sigma_1336}(p_1)*d_{i_353,%gam_1493}(p_3)_u^(*)*d_{j_353,%eta_1547}(p_4)_v)/(s_23 + -1/2*reg_prop) : 2/81*e^4*s_23*s_24*(s_23 + -1/2*reg_prop)^(-2) + -1/324*i*e^2*(i*e^2*m_d^2*(16*s_23 + 8*s_24)/(s_23 + -1/2*reg_prop) + (-16)*i*e^2*m_d^2*(m_d^2 + 1/2*s_34)/(s_23 + -1/2*reg_prop))/(s_23 + -1/2*reg_prop)
Interaction:  A_\rho_1321(X)  AntiPart A_\sigma_1658(X)  to  s_alpha_807(X)  AntiPart s_beta_633(X)^(*) : Vertex V_1:A(X_2), AntiPart s(X_4),  OffShell s(V_1), Vertex V_0:A(X_1), s(X_3), AntiPart  OffShell s(V_0), : 1/18*i*e^2*(p_2_%\mu_1517*gamma_{+%\mu_1517,%eta_1870,%eta_1871}*gamma_{%\rho_1216,%eta_1841,%eta_1870}*gamma_{%\rho_1218,%eta_1871,%beta_577}*A_{k_417,+%\rho_1216}(p_1)*A_{l_417,+%\rho_1218}(p_2)*s_{j_419,%beta_577}(p_4)_v*s_{i_419,%eta_1841}(p_3)_u^(*) + (-2)*p_4_%\rho_1218*gamma_{%\rho_1216,%eta_1847,%beta_580}*A_{k_417,+%\rho_1216}(p_1)*A_{l_417,+%\rho_1218}(p_2)*s_{j_419,%beta_580}(p_4)_v*s_{i_419,%eta_1847}(p_3)_u^(*))/(s_13 + -1/2*reg_prop) : 2/81*e^4*s_23*s_24*(s_13 + -1/2*reg_prop)^(-2) + -2/81*i*e^2*(i*e^2*m_s^2*(s_23 + 2*s_24)/(s_13 + -1/2*reg_prop) + (-2)*i*e^2*m_s^2*(m_s^2 + 1/2*s_34)/(s_13 + -1/2*reg_prop))/(s_13 + -1/2*reg_prop)
